timestamp,token_id,symbol,activation_strength,usage_count,cluster_stability,cross_modal_strength,stage,associated_tokens
2026-08-22 21:56:37,29,"ph_1_2",0.534024,1,0.583333,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,45,"ph_1_6",0.757869,1,0.2,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,59,"ph_3_10",0.371964,1,0.2,0,2,"ph_0_0;ph_1_0;mama;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10"
2026-08-22 21:56:37,27,"ph_2_0",0.786435,1,0.6875,0,2,"look;ph_0_0;ph_1_0;mama;ph_0_3;ph_1_3;ph_2_3;ph_4_3;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,40,"ph_3_4",0.218298,1,0.6875,0,2,"look;ph_0_0;ph_1_0;mama;ph_0_3;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,57,"ph_1_10",0.963858,1,0.2,0,2,"look;ph_0_0;ph_1_0;mama;ph_0_3;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,22,"ph_2_3",0.627188,1,0.583333,0,2,"look;ph_0_0;ph_1_0;mama;ph_0_3;ph_1_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,37,"ph_0_4",0.520545,1,0.583333,0,2,"look;ph_0_0;ph_1_0;mama;ph_0_3;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,51,"ph_3_8",0.617498,1,0.2,0,2,"look;ph_0_0;ph_1_0;mama;ph_0_3;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
2026-08-22 21:56:37,19,"mama",1,1,0.642857,0.256211,2,"look;ph_0_0;ph_1_0;ph_0_3;ph_1_3;ph_2_3;ph_4_3;ph_2_0;ph_1_2;ph_2_2;ph_3_2;ph_4_2;babble_d_3;ph_0_4;ph_3_4;babble_o_6;babble_m_6;ph_1_6;ph_2_6;ball;ph_0_8;ph_1_8;ph_2_8;ph_3_8;ph_4_8;babble_p_9;ph_0_10;ph_1_10;ph_2_10;ph_3_10"
